to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-River Falls,,3.00,ENGL EL,English Elective,ENGL 243,UW-Superior,,Literature of the Orient,
UW-River Falls,,3.00,ENGL EL,English Elective,ENGL 251,UW-Superior,,Creative Writing: Memoir,
UW-River Falls,,3.00,ENGL EL,English Elective,ENGL 252,UW-Superior,,Creative Writing:  Poetry,
UW-River Falls,,3.00,ENGL EL,English Elective,ENGL 285,UW-Superior,D,Diversity in American Culture,
UW-River Falls,L,3.00,ENGL 212,The Native Amer in Lit (D),ENGL 304,UW-Superior,,First Nations Literature,203
UW-River Falls,U,3.00,ENGL 320,Structure of English,ENGL 307,UW-Superior,,English Grammar,
UW-River Falls,U,3.00,ENGL 335,Shakespeare,ENGL 311,UW-Superior,,Shakespeare I,727
UW-River Falls,U,3.00,ENGL 335,Shakespeare,ENGL 312,UW-Superior,,Shakespeare II,727
UW-River Falls,U,3.00,ENGL EL,English Elective,ENGL 326,UW-Superior,,Major Author,
UW-River Falls,U,3.00,TED 432,Techniques in English,ENGL 339,UW-Superior,,Teaching Engl in Sec Schools,
UW-River Falls,U,3.00,ENGL EL,English Elective,ENGL 350,UW-Superior,,Advanced Creative Writing,3
UW-River Falls,U,3.00,ENGL 321,History of English,ENGL 405,UW-Superior,,History of  English Language,
UW-River Falls,U,1.00-6.00,ENGL 489,Special Topics in English,ENGL 450,UW-Superior,,Special Topics in Rhetoric,"3, 8"
UW-River Falls,U,3.00,ENGL 489,Special Topics in English,ENGL 460,UW-Superior,,Special Topics in Literature,3
UW-River Falls,U,3.00,ENGL EL,English Elective,ENGL 479,UW-Superior,,Literary Criticism,3
UW-River Falls,U,1.00-6.00,ENGL 499,Independent Study,ENGL 498,UW-Superior,,Independent Study,"3, 8"
UW-River Falls,,4.00,HUM EL,Humanities Elective,FNS 101,UW-Superior,,Beginning Ojibwa Language,
UW-River Falls,,3.00,ANTH EL,Anthropology Elective,FNS 110,UW-Superior,,Survey of First Nation Culture,
UW-River Falls,,3.00,GEN EL,General Elective,FNS 150,UW-Superior,,Intro/Tribal Administratn,
UW-River Falls,,3.00,GEN EL,General Elective,FNS 151,UW-Superior,,Intro to Tribal Administration,
UW-River Falls,,3.00,MODL EL,Modern Languages Elective,FNS 181,UW-Superior,,Beginning Ojibwa Language,
UW-River Falls,,4.00,HUM EL,Humanities Elective,FNS 201,UW-Superior,,Intermediate Ojibwa Language,
UW-River Falls,,3.00,HIST EL,History Elective,FNS 221,UW-Superior,D,First Nations Wisconsin Hist,
UW-River Falls,,3.00,HUM EL,Humanities Elective,FNS 230,UW-Superior,,First Nations Myths & Legends,
UW-River Falls,,3.00,HUM EL,Humanities Elective,FNS 242,UW-Superior,,First Nation Val/Spirit Belief,
UW-River Falls,,3.00,MODL EL,Modern Languages Elective,FNS 281,UW-Superior,,Intermediate Ojibwa Language,
UW-River Falls,L,3.00,MNGT 150,Introduction to Business,BUS 100,UW-Superior,,Introduction to Business,
UW-River Falls,,2.00,MATH EL,Mathematics Elective,BUS 102,UW-Superior,,Mathematics of Finance,
UW-River Falls,L,3.00,FINC 210,Personal Finance,BUS 110,UW-Superior,,Personal Finance,
UW-River Falls,,1.00-2.00,NDC,No Degree Credit,BUS 140,UW-Superior,,Beginning Keyboarding,"5, 8"
