4684,U,3.00,ARTSTDIO 324,Watercolor,ART 284,4690,,Beginning Watercolor,
4684,,1.00,ARTSTDIO EL,Art Studio Elective,ART 290,4690,,Special Topics in Art:,263
4684,P,3.00,MATH 040,Pre-Algebra,ACSK 010,4690,,Essential Math Skills,
4684,P,4.00,MATH 041,Beginning Algebra,ACSK 015,4690,,Elementary Algebra,
4684,,1.00,DNT,Does Not Transfer,ACSK 070,4690,,Learning Strategies,20
4684,,2.00,DNT,Does Not Transfer,ACSK 080,4690,,College Rdg Efficiency I,20
4684,,1.00,DNT,Does Not Transfer,ACSK 081,4690,,College Rdg Efficiency II,20
4684,,1.00,NDC,No Degree Credit,ACSK 085,4690,,Academic Reading,5
4684,P,2.00,ENGLISH 090,Fundamentals of English,ACSK 090,4690,,Composition Preparation,
4684,,1.00-4.00,DNT,Does Not Transfer,ACSK 091,4690,,Special Topics,"20, 8"
4684,,2.00,DNT,Does Not Transfer,ACSK 092,4690,,Career Exploration/Planning,20
4684,,5.00,NDC,No Degree Credit,ACSK 094,4690,,Reading and Writing,5
4684,,3.00,DNT,Does Not Transfer,ACSK 100,4690,,Esl Seminar,20
4684,,3.00,MANGEMNT EL,Management Elective,CSCI 105,4690,GM,Introduction to Computers,
4684,,3.00,COMPSCI EL,Computer Science Elective,CSCI 105,4690,GM,Introduction to Computers,
4684,L,3.00,COMPSCI 162,Computer Applications,CSCI 106,4690,GM,Cmptr Productivity Tools,
4684,,3.00,COMPSCI EL,Computer Science Elective,CSCI 120,4690,GM,Tools Multimedia Design,
4684,,1.00,COMPSCI EL,Computer Science Elective,CSCI 130,4690,GM,Introduction to Programming,
4684,,1.00,COMPSCI EL,Computer Science Elective,CSCI 131,4690,,Advanced Prog in Basic,
4684,,2.00,COMPSCI EL,Computer Science Elective,CSCI 132,4690,,Fortran Programming,
4684,,1.00,COMPSCI EL,Computer Science Elective,CSCI 137,4690,,Computer Programming in C,
4684,,5.00,MANGEMNT EL,Management Elective,CSCI 145,4690,GM,Intro to Computer Science,
4684,L,3.00,COMPSCI 171,Intro to Vb Programming,CSCI 146,4690,GM,Intro to Computer Sci II,
4684,,3.00,COMPSCI EL,Computer Science Elective,CSCI 220,4690,,Web Concepts I,
4684,,1.00,COMPSCI EL,Computer Science Elective,CSCI 232,4690,,Programming in Fortran 77,
4684,,1.00,COMPSCI EL,Computer Science Elective,CSCI 237,4690,,Programming in C/C++,
4684,L,3.00,MATH 280,Discrete Mathematics,CSCI 240,4690,,Discrete Mathematics,
4684,,3.00,COMPSCI EL,Computer Science Elective,CSCI 241,4690,,Computer Science I,
4684,,4.00,COMPSCI EL,Computer Science Elective,CSCI 242,4690,,Computer Science II,
4684,L,3.00,COMPSCI 271,Assembly Programming,CSCI 245,4690,,Assembly Language Programming,
4684,,4.00,COMPSCI EL,Computer Science Elective,CSCI 250,4690,,Digital Logic/Cmptr Organizatn,
4684,,3.00,COMPSCI EL,Computer Science Elective,CSCI 270,4690,,File Management Software,
4684,,1.00,COMPSCI EL,Computer Science Elective,CSCI 290,4690,,Special Topics,"263, 8"
4684,,3.00,ECON EL,Economics Elective,ECON 101,4690,"GD, GS, UCTA",The American Economy,22
4684,L,3.00,ECON 201,Principles of Microeconomics,ECON 120,4690,GS,Principles of Microeconomics,
4684,L,3.00,ECON 202,Principles of Macroeconomics,ECON 121,4690,GS,Principles of Macroeconomics,
4684,,3.00,ITBE EL,Information Technology & Business Ed Elective,ECON 195,4690,,Fr Seminar-Economics,
4684,,3.00,ITSCM EL,Information Technology&Supply Chain Mgmt Elective,ECON 195,4690,,Fr Seminar-Economics,
4684,L,3.00,ECON 201,Principles of Microeconomics,ECON 201,4690,GS,Principles Microeconomics,
4684,L,3.00,ECON 202,Principles of Macroeconomics,ECON 202,4690,GS,Principles Macroeconomics,
4684,,3.00,ECON EL,Economics Elective,ECON 260,4690,,Industrl Organztn/Publc Policy,
4684,U,3.00,ECON 359,Comparative Econ Systems,ECON 280,4690,,Comparative Economic Systems,266
4684,,1.00,ECON EL,Economics Elective,ECON 290,4690,,Special Topics in Economics,263
4684,U,3.00,ECON 471,Natur Resour & Envir Econ,ECON 295,4690,,Environmental Economics,266
4684,,3.00,ECON EL,Economics Elective,ECON 304,4690,,Economics of Urban Problems,
4684,,3.00,ECON EL,Economics Elective,ECON 323,4690,,Labor History of the U.S.,
4684,,3.00,ECON EL,Economics Elective,ECON 325,4690,,American Economic History,
4684,,3.00,ECON EL,Economics Elective,ECON 327,4690,,American Business History,
4684,U,3.00,ECON 301,Int Microeconomic Anlysis,ECON 350,4690,,Intermediate Micro Theory,266
4684,U,3.00,ECON 302,Int Macroeconomic Anlysis,ECON 351,4690,,Intermediate Macro Theory,266
4684,,3.00,ECON EL,Economics Elective,ECON 352,4690,,Managerial Economics,
4684,,3.00,ECON EL,Economics Elective,ECON 357,4690,,Economic Anthropology,
4684,,3.00,ECON EL,Economics Elective,ECON 370,4690,,Principles Indst Location,
4684,,3.00,ECON EL,Economics Elective,ECON 377,4690,,Labor Problems,
4684,,3.00,ECON EL,Economics Elective,ECON 380,4690,,The Labor Market,
4684,,3.00,ECON EL,Economics Elective,ECON 390,4690,,Comparative Econ Systems,
4684,U,3.00,ECON 354,Money and Banking,ECON 401,4690,,Money and Banking,266
4684,,3.00,ECON EL,Economics Elective,ECON 405,4690,,Public Economics,
4684,,3.00,ECON EL,Economics Elective,ECON 408,4690,,Econ Discrim/Inequal (Dv),
4684,,3.00,ECON EL,Economics Elective,ECON 409,4690,,Econometrics,
4684,,3.00,ECON EL,Economics Elective,ECON 410,4690,,International Trade,
4684,,3.00,ECON EL,Economics Elective,ECON 425,4690,,Financial Institution/Mkt,
4684,,3.00,ECON EL,Economics Elective,ECON 440,4690,,Developmental Economics,
4684,,1.00,ECON EL,Economics Elective,ECON 490,4690,,Special Topics,"263, 8"
4684,,1.00,ECON EL,Economics Elective,ECON 499,4690,,Independent Study,263
4684,,3.00,GEN EL,General Elective,FIN 234,4690,,Personal Financial Planning,
4684,,1.00,GEN EL,General Elective,FIN 290,4690,,Special Topics,"263, 8"
4684,U,3.00,FNBSLW 344,Business Finance,FIN 330,4690,,Managerial Finance,266
4684,U,3.00,FNBSLW 410,Multinatnl Bus Finance,FIN 337,4690,,International Bus Finance,266
4684,,3.00,GEN EL,General Elective,FIN 431,4690,,Adv Managerial Finance,
4684,,3.00,GEN EL,General Elective,ETHN 108,4690,,The Body in Question (Dv),
4684,,3.00,RACEETH EL,Race & Ethnic Cultures General Elective,ETHN 201,4690,"GD, UCTA",Intro to Ethnic Studies (Dv),22
4684,,3.00,GEN EL,General Elective,ETHN 210,4690,"GD, GE",Ethnobiology (Dv),
4684,,3.00,GEN EL,General Elective,ETHN 290,4690,,Special Topics,8
4684,,3.00,GEN EL,General Elective,ETHN 302,4690,"GD, GE",Race/Ethn: Usa 1890-Pres (Dv),
4684,,3.00,GEN EL,General Elective,ETHN 315,4690,"GD, GE",Div Law: Tribal Nations (Dv),
