level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,2.00,HESM 260,Coaching Theory-Softball,COACHING 361,None,Coaching of Softball,None
None,2.00,HESM 268,Officiate Team/Dual Sport,COACHING 462,None,Thry Tech Officiating,None
None,0.00,GEN EL,General Elective,COMDIS 100,None,Speech Improvement,None
None,3.00,GEN EL,General Elective,COMDIS 210,None,O & P Communicative Dis,None
None,3.00,GEN EL,General Elective,COMDIS 270,None,Intro Hum Comm and Disrdrs,None
None,3.00,GEN EL,General Elective,COMDIS 272,None,Phonetics & Relat Process,None
None,3.00,GEN EL,General Elective,COMDIS 278,None,Anat Physio Hum Comm,None
None,2.00,GEN EL,General Elective,EARLYCHD 222,None,Early Child Msc Methods,None
None,3.00,NDC,No Degree Credit,DEVLPED 050,None,Study/Academic Surv Skill,None
None,3.00,NDC,No Degree Credit,DEVLPED 060,None,College Literacy,None
None,1.00-3.00,GEN EL,General Elective,DEVLPED 080,None,Student Success Workshop,None
None,3.00,GEN EL,General Elective,EDFNDPRC 210,None,Intro to Educ & Teaching,None
None,2.00,GEN EL,General Elective,DANCE 110,None,Dance Appreciation,None
None,2.00,GEN EL,General Elective,DANCE 141,None,Cont Dance Technique I,None
None,2.00,GEN EL,General Elective,DANCE 142,None,Intro Tcnqs/Improv/Cmpstn,None
None,2.00,GEN EL,General Elective,DANCE 143,None,Improvisation,None
None,2.00,GEN EL,General Elective,DANCE 144,None,Jazz Dance,None
None,2.00,GEN EL,General Elective,DANCE 145,None,Ballet I,None
None,1.00,GEN EL,General Elective,DANCE 200,None,Pract-Dance Performance,None
None,2.00,GEN EL,General Elective,DANCE 243,None,Improvisation/Sound,None
None,2.00,GEN EL,General Elective,DANCE 244,None,Contemp Dance Tech II,None
None,2.00,GEN EL,General Elective,DANCE 245,None,Contmp Dance Tech III,None
None,2.00,GEN EL,General Elective,DANCE 246,None,Ballet II,None
None,2.00,GEN EL,General Elective,DANCE 248,None,Dance Composition I,None
None,3.00,GEN EL,General Elective,DANCE 249,None,Dance Composition II,None
None,3.00,GEN EL,General Elective,ECON 105,None,Global Perspectives,None
None,3.00,ECON 101,The American Economy,ECON 200,None,The Economic World,None
None,3.00,ECON 120,Principles of Microeconomics,ECON 201,None,Principles of Microeconomics,None
None,3.00,ECON 121,Principles of Macroeconomics,ECON 202,None,Principles of Macroeconomics,None
None,3.00,ECON 202,Principles Macroeconomics,ECON 211,None,Econ Prin/Pblms/Policies,None
None,3.00,ECON 201,Principles Microeconomics,ECON 212,None,Econ Prin/Pblms/Policies,None
None,3.00,GEN EL,General Elective,ECON 213,None,Econ Prin For Teachers,None
None,3.00,QM 210,Business Statistics I,ECON 245,None,Business Statistics,None
None,1.00,GEN EL,General Elective,ECON 245A,None,Bus Stats I-Cmptr Appltns,None
None,4.00,GEN EL,General Elective,ECON 245C,None,Statistics W/Computr Appl,None
None,3.00,ECON 320,Intermediate Micro Theory,ECON 301,None,Int Microeconomic Anlysis,None
None,3.00,ECON 409,Econometrics,ECON 345,None,Econometrics,None
None,3.00,SPCH 105,Public Speaking,COMM 110,None,Intro to Public Speaking,None
None,3.00,COMM 108,Media and Society,COMM 131,None,Intro Mass Communication,None
None,3.00,GEN EL,General Elective,COMM 162,None,Debate,None
None,3.00,GEN EL,General Elective,COMM 202,None,Principles Public Relatns,None
None,3.00,GEN EL,General Elective,COMM 203,None,Publ Relations Tactics 1,None
None,3.00,GEN EL,General Elective,COMM 204,None,Publ Relations Tactics II,None
None,3.00,COMM 107,Comm & Human Condition (Dv),COMM 228,None,Interpersonal Communicatn,None
None,1.00,GEN EL,General Elective,COMM 230,None,Radio Practicum,None
None,1.00,GEN EL,General Elective,COMM 231,None,Practicum in Television,None
None,3.00,GEN EL,General Elective,COMM 232,None,Found Electronic Media,None
None,3.00,GEN EL,General Elective,COMM 234,None,Electronic Media Announce,None
None,3.00,ENGL 252,Introduction to Film,COMM 236,None,Introduction to Cinema,None
None,3.00,GEN EL,General Elective,COMM 238,None,Video Production I,None
None,3.00,GEN EL,General Elective,COMM 239,None,Audio Production I,None
None,3.00,COMM 105,Public Speaking,COMM 240,None,Public Speaking,None
None,3.00,GEN EL,General Elective,COMM 241,None,Elec Media Copywriting,None
None,3.00,COMM 202,Group Communication,COMM 242,None,Comm & Team Building,None
None,3.00,GEN EL,General Elective,COMM 244,None,Communication/Interviewng,None
None,3.00,GEN EL,General Elective,COMM 246,None,Elec Media Newswriting,None
None,3.00,GEN EL,General Elective,COMM 247,None,Intro Parliamentary Proc,None
None,0.50-1.00,GEN EL,General Elective,COMM 260,None,Intercollegiate Debate I,None
None,0.50-1.00,GEN EL,General Elective,COMM 261,None,Intercollegiate Debate II,None
None,1.00,GEN EL,General Elective,COMM 263,None,Practicum in Forensics,None
None,3.00,GEN EL,General Elective,COMM 270,None,Communication and Web Dev,None
None,3.00,GEN EL,General Elective,COMM 271,None,Multimedia Production Two,None
None,3.00,GEN EL,General Elective,COMM 422,None,Communication Theories,None
None,3.00,COMM 209,Comm Research Methods,COMM 485,None,Comm Research Methods,None
None,3.00,GEN EL,General Elective,EDFOUND 212,None,Educational Psychology,None
None,1.00,GEN EL,General Elective,EDFOUND 214,None,Portfolio Development I,None
None,3.00,GEN EL,General Elective,EDFOUND 222,None,Child Development,None
None,3.00,GEN EL,General Elective,EDFOUND 243,None,Found of Ed in Plur Soc,None
None,2.00,GEN EL,General Elective,ELEMMID 215,None,Methds Tch Art Elm/Mdl Sc,None
None,2.00,GEN EL,General Elective,ELEMMID 223,None,Elem School Music Methods,None
None,2.00,GEN EL,General Elective,ELEMMID 234,None,Elem Genrl Music Methods,None
None,2.00,GEN EL,General Elective,ELEMMID 236,None,Elm/Mdl Sch Instr Methods,None
None,3.00,DNT,Does Not Transfer,ENGLISH 090,None,Fundamentals of English,None
None,2.00,NDC,No Degree Credit,ENGLISH 091,None,Written Communications,None
None,3.00,ENGL 100,Fundamentals of English,ENGLISH 101,None,College Writing & Reading,None
None,3.00,ENGL 101,Composition and Reading,ENGLISH 102,None,Writing/Reading/Research,None
None,3.00,ENGL 101,Composition and Reading,ENGLISH 105,None,Freshman English Honors,None
None,4.00,ENGL EL,English Elective,ENGLISH 161,None,Adv Acad Reading in Esl,None
None,4.00,ENGL EL,English Elective,ENGLISH 162,None,College Wrtg Engl As Sec Lang,None
None,3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 200,None,Chican@ Lit: to 1980,None
None,3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 201,None,Contemporary Chicano Lit,None
None,3.00,ENGL EL,English Elective,ENGLISH 204,None,Creative Writing II,None
None,0.00,ENGL EL,English Elective,ENGLISH 205,None,Literary Magazines,None
None,3.00,ENGL 216,British Literature to 1800,ENGLISH 206,None,British Lit Survey I,None
None,3.00,ENGL 217,"British Literature, 1800-1920",ENGLISH 216,None,British Lit Survey II,None
None,3.00,ENGL 226,American Literature to 1855,ENGLISH 226,None,American Lit Survey I,None
None,3.00,GEN EL,General Elective,ENGLISH 234,None,Shakespeare/Non-Engl Majr,None
None,3.00,ENGL 227,"American Literature, 1855-1920",ENGLISH 236,None,Am Literature II,None
None,3.00,ENGL 464,Studies in Cultural Trends:,ENGLISH 251,None,Class Myth/Lgnd Srce Lit,None
None,3.00,ENGL 368,The Bible As Literature,ENGLISH 252,None,The Bible As Literature,None
None,3.00,ENGL 246,Survey of  World Literature,ENGLISH 256,None,World Lit I: Anc Tms-Ren,None
None,3.00,ENGL 247,Survey of Modern World Lit,ENGLISH 257,None,World Lit II: Neocl-Modrn,None
None,3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 258,None,Wrld Lit Chna India Japan,None
None,3.00,ENGL 332,Modern & Contemp Novel,ENGLISH 263,None,The Contemporary Novel,None
None,3.00,ENGL 269,Introduction to Women Writers:,ENGLISH 264,None,The West Trad Before 1665,None
None,3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 265,None,Multicultural Lit of US,None
None,3.00,ENGL 266,Literary Analysis,ENGLISH 271,None,Crit Writing in English,None
None,3.00,ENGL 206,Creative Writing: Poetry,ENGLISH 274,None,Creative Writng,None
None,3.00,ENGL 387,Linguistics,ENGLISH 281,None,Intro Language Study,None
None,3.00,ENGL EL,English Elective,ENGLISH 310,None,Lit For Adolescents,None
None,3.00,ENGL 237,Modrn/Contemp Lit 1920-Present,ENGLISH 322,None,Modern Western Literature,None
None,3.00,ENGL EL,English Elective,ENGLISH 360,None,20th-C British Lit,None
None,3.00,ENGL 247,Survey of Modern World Lit,ENGLISH 363,None,Am Lit in Postmodern Age,None
None,3.00,ENGL 320,Shakespeare,ENGLISH 404,None,Shakespeare,None
None,3.00,ENGL EL,English Elective,ENGLISH 483,None,Controversies in Criticism,None
None,4.00,GEN EL,General Elective,ENVSCI 200,None,Intro Environ Sci,None
None,3.00,BUS 372,Business Law,FNBSLW 342,None,Adv Bus & Commercial Law,None
None,3.00,FIN 330,Managerial Finance,FNBSLW 344,None,Business Finance,None
None,2.00,GEN EL,General Elective,EDUINDP 211,None,Intro to Early Childhd Educ,None
None,3.00,GEN EL,General Elective,EDUINDP 212,None,Child/Families Div Society,None
None,3.00,GEN EL,General Elective,EDUINDP 213,None,Develop Young Child,None
None,3.00,GEN EL,General Elective,EDUINDP 214,None,Observ and Reflect in Hd Strt,None
None,3.00,GEN EL,General Elective,EDUINDP 215,None,Art in the Early Years,None
None,1.00,GEN EL,General Elective,EDUINDP 216,None,Seminar: Phase 2 Portfolio,None
None,3.00,GEN EL,General Elective,FILM 110,None,Visual Culture in America,None
None,4.00,GEN EL,General Elective,FORNLANG 101,None,Beginning Japanese I,None
None,4.00,GEN EL,General Elective,FORNLANG 102,None,Beginning Japanese II,None
None,4.00,GEN EL,General Elective,FORNLANG 103,None,Beginning Japanese III,None
None,4.00,GEN EL,General Elective,FORNLANG 141,None,Beginning Chinese,None
None,4.00,GEN EL,General Elective,FORNLANG 142,None,Beginning Chinese,None
None,4.00,GEN EL,General Elective,FORNLANG 201,None,Intermediate Japanese I,None
None,4.00,FREN 103,Introductory French I,FRENCH 141,None,Beginning French,None
None,4.00,FREN 104,Introductory French II,FRENCH 142,None,Beginning French,None
None,4.00,FREN 203,Intermediate French I,FRENCH 251,None,Intermediate French,None
None,4.00,FREN 204,Intermediate French II,FRENCH 252,None,Intermediate French,None
None,3.00,GEN EL,General Elective,FRENCH 260,None,French Phonetics,None
None,3.00,FREN EL,French Studies Elective,FRENCH 310,None,French Phonetics,None
None,3.00,Human/Arts EL,Humanities and Arts Elective,FRENCH 321,None,Advanced French Lng Study,None
None,3.00,Human/Arts EL,Humanities and Arts Elective,FRENCH 322,None,Advanced French Lng Study,None
None,3.00,FREN 320,Intro to French Literature:,FRENCH 331,None,Readings Modern French,None
None,3.00,FREN 318,French Civilization & Culture:,FRENCH 340,None,Contemp French Society,None
None,3.00,FREN 301,French Convers and Comp,FRENCH 370,None,Intro to Business French,None
None,3.00,FREN EL,French Studies Elective,FRENCH 491,None,Travel Study,None
None,1.00,GEN EL,General Elective,GEOGRPY 100,None,Introduction to Geography,None
None,3.00,GEOG 105,Contemporary Human Geography,GEOGRPY 105,None,Global Perspectives,None
None,3.00,GEN EL,General Elective,GEOGRPY 111,None,Geographical Foundations,None
None,3.00,GEOG 110,Intro to Geog: World Regions,GEOGRPY 160,None,World Geography,None
None,5.00,GEOG 100,Physical Geog & the Environmnt,GEOGRPY 210,None,Physical Geography,None
None,3.00,GEOG 105,Contemporary Human Geography,GEOGRPY 230,None,Human Geography,None
None,3.00,GEOG 315,Geography of Wisconsin,GEOGRPY 250,None,Geography of Wisconsin,None
None,3.00,GEN EL,General Elective,GEOGRPY 252,None,Glbl Environ Challenges,None
None,3.00,GEOG 310,Geography of the U.S. & Canada,GEOGRPY 261,None,Geography Canada/U.S.,None
None,3.00,GEOG 350,Cartography and Gis,GEOGRPY 270,None,Gis I: Intro to Gis/Maps,None
None,3.00,GEN EL,General Elective,GEOGRPY 275,None,Geog Concepts For Teacher,None
None,3.00,GEOG 300,Geographic Methods,GEOGRPY 290,None,Spatial Analysis,None
None,1.00,GEN EL,General Elective,GENED 010,None,Intro University Life,None
None,3.00,GEN EL,General Elective,GENED 110,None,World of the Arts,None
None,3.00,GEN EL,General Elective,GENED 120,None,Historical Perspectives,None
None,3.00,GEN EL,General Elective,GENED 130,None,Individual and Society,None
None,3.00,GEN EL,General Elective,GENED 140,None,Global Perspectives,None
None,3.00,GEN EL,General Elective,GENED 150,None,Science Technol Society,None
None,1.00-3.00,GEN EL,General Elective,GENED 291,None,General Education Travel Study,None
None,3.00,GEN EL,General Elective,GENED 390,None,World of Ideas,None
None,4.00,GER 103,Introductory German I,GERMAN 141,None,Beginning German,None
None,4.00,GER 104,Introductory German II,GERMAN 142,None,Beginning German,None
None,4.00,GER 203,Intermediate German I,GERMAN 251,None,Intermediate German,None
None,4.00,GER 204,Intermediate German II,GERMAN 252,None,Intermediate German,None
None,3.00,GEN EL,General Elective,GERMAN 260,None,German Phonetics,None
None,3.00,GEN EL,General Elective,GERMAN 310,None,German Phonetics,None
None,2.00,GEN EL,General Elective,HEALTHED 181,None,Contemporary Health,None
None,1.00,GEN EL,General Elective,HEALTHED 245,None,Intro to Health Issues,None
None,3.00,GEN EL,General Elective,HEALTHED 280,None,Qual Life & Health Promo,None
None,3.00,HESM 271,Lifetime Wellness Lab:,HEALTHED 360,None,Current Topics in Hlth & Well,None
None,3.00,ART 102,Introduction to 2-D Design,ARTSTDIO 102,None,2-Dimensional Design,None
None,3.00,ART 103,Introduction to 3-D Design,ARTSTDIO 103,None,3-Dimensional Design,None
None,3.00,GEN EL,General Elective,ARTSTDIO 121,None,Basic Art,None
None,3.00,ART EL,Art Elective,ARTSTDIO 180,None,Intro Advertising Design,None
None,3.00,ART 122,Introduction to Drawing,ARTSTDIO 201,None,Drawing I,None
None,3.00,ART 222,Intermediate Drawing,ARTSTDIO 202,None,Drawing II,None
None,3.00,GEN EL,General Elective,ARTSTDIO 213,None,Intro to Digital Photo,None
None,3.00,GEN EL,General Elective,ARTSTDIO 221,None,Intro Studio Non-Art Majr,None
None,3.00,GEN EL,General Elective,ARTSTDIO 222,None,Int. Water-Based Maedia,None
None,3.00,ART 203,Beginning Ceramics,ARTSTDIO 251,None,Ceramics I,None
None,3.00,ART 223,Beginning Art Metals,ARTSTDIO 271,None,Metal and Jewelry I,None
None,3.00,ART 323,Intermediate Art Metals,ARTSTDIO 272,None,Metal and Jewelry II,None
None,3.00,GEN EL,General Elective,ARTSTDIO 287,None,Comptr Graphcs For Artist,None
None,3.00,ART 282,Beginning Painting,ARTSTDIO 321,None,Painting I,None
None,3.00,ART 274,Typography I,ARTSTDIO 381,None,Graphic Design I: Typography,None
None,5.00,GEOS 100,Earth in Perspective,GEOLGY 100,None,Principles of Geology,None
None,4.00,GEOS 101,Introductory Geology,GEOLGY 101,None,Elements of Geology,None
None,3.00,GEOS 102,Origin & History of the Earth,GEOLGY 204,None,Earth and Life History,None
None,1.00,GEOS 102,Origin & History of the Earth,GEOLGY 205,None,Historical Geology Lab,None
None,3.00,GEN EL,General Elective,GEOLGY 206,None,Planetary Geology,None
None,3.00,GEN EL,General Elective,INTRNAR 280,None,Intro Australian Studies,None
None,1.00,NDC,No Degree Credit,INTRAUNV 010,None,Intro University Life,None
None,6.00,GEN EL,General Elective,INTRAUNV 100,None,Engl Fund/Core Block,None
None,6.00-9.00,GEN EL,General Elective,INTRAUNV 101,None,English/Core Block,None
None,1.00,Soc/BhvSci EL,Social & Behavioral Science Elective,INTRAUNV 104,None,New Student Seminar,None
None,5.00,GEN EL,General Elective,INTRAUNV 161,None,Engl & Wrtg Skll/Intl,None
None,3.00,GEN EL,General Elective,INTRAUNV 200,None,Perspectives Nuclear War,None
None,3.00,GEN EL,General Elective,INTRAUNV 244,None,Consumers and Culture,None
None,3.00,PHIL 209,Business Ethics,INTRAUNV 246,None,Business Ethics,None
None,3.00,GEN EL,General Elective,HISTRY 102,None,Intro to Amer Indian Studies,None
None,3.00-4.00,GEN EL,General Elective,HISTRY 105,None,West Civ  Anc Times to  Renais,None
None,3.00,GEN EL,General Elective,HISTRY 120,None,"Erpe & Modrn World,1815 Pres",None
None,3.00,HIST 101,U.S.: Origins-Reconstruction,HISTRY 124,None,American History to 1877,None
None,3.00,HIST 102,U.S.: Reconstuctn-Recent Times,HISTRY 125,None,American History Since 1877,None
None,3.00,HIST EL,History Elective,HISTRY 130,None,East Asian Tradition,None
None,3.00,HIST 251,Modernization-East Asia,HISTRY 131,None,East Asia Since 1800,None
None,3.00,GEN EL,General Elective,HISTRY 140,None,Intro Latin Amer History,None
None,3.00,HIST EL,History Elective,HISTRY 141,None,Modern Black Amer History,None
None,3.00,GEN EL,General Elective,HISTRY 150,None,Atlantic History,None
None,3.00,HIST 118,West Civ I: Antiquity to 1300,HISTRY 154,None,Western Civilization,None
None,3.00,HIST 119,West Civ II: Midl Ages to 1815,HISTRY 155,None,History of Modern Europe,None
None,3.00,HIST EL,History Elective,HISTRY 165,None,Hist Western Science,None
None,3.00,HIST EL,History Elective,HISTRY 190,None,N Am Environ History,None
None,3.00,HIST 350,Historiography and Historians,HISTRY 200,None,Historical Methods,None
None,2.00,HIST 250,Sources and Methods in History,HISTRY 201,None,Study History: Research,None
None,3.00,SS-HIST EL,Soc Sciences - History Elective,HISTRY 313,None,Women Amer Hist I,None
None,3.00,SS-HIST EL,Soc Sciences - History Elective,HISTRY 314,None,Women in Amer Hist 1875-Presen,None
