level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,3.00,HIST EL,History Elective,HISTRY 364,None,Modern Europe Women Hist,None
None,3.00,BUS 100,Introduction to Business,ITBE 141,None,Concepts of Business,None
None,2.00,GEN EL,General Elective,ITBE 143,None,Keybrdg & Intro Doc Proc,None
None,3.00,GEN EL,General Elective,ITBE 241,None,Shorthand I,None
None,3.00,GEN EL,General Elective,ITBE 242,None,Note Taking,None
None,3.00,GEN EL,General Elective,ITBE 244,None,Document Processing I,None
None,3.00,GEN EL,General Elective,ITBE 245,None,Technology Appl Bus Tchrs,None
None,2.00,GEN EL,General Elective,ITBE 251,None,Pen Lettering,None
None,3.00,GEN EL,General Elective,ITBE 252,None,Mcrocmptr App Voc Edctrs,None
None,3.00,GEN EL,General Elective,ITBE 255,None,Comptr End Usr Technogies,None
None,3.00,MIS 320,Mgt Information Systems,ITBE 280,None,Intro Information Systems,None
None,1.00,NDC,No Degree Credit,LSINDP 099,None,Career Information-L & S,None
None,3.00,GEN EL,General Elective,LSINDP 105,None,Science Technol Society,None
None,3.00,GEN EL,General Elective,LSINDP 150,None,Science Technol Society,None
None,3.00,GEN EL,General Elective,LSINDP 200,None,Perspectives Nuclear War,None
None,3.00,GEN EL,General Elective,LSINDP 201,None,Intro to Liberal Studies,None
None,1.00-3.00,GEN EL,General Elective,LSINDP 294,None,Honors Seminar,None
None,3.00,GEN EL,General Elective,JOURNLSM 210,None,Foundations of Print Journ,None
None,3.00,GEN EL,General Elective,JOURNLSM 220,None,Foundations Advertising,None
None,3.00,GEN EL,General Elective,JOURNLSM 241,None,Elec Media Copywriting,None
None,3.00,GEN EL,General Elective,JOURNLSM 243,None,Mass Media Writing,None
None,3.00,GEN EL,General Elective,JOURNLSM 244,None,News Gathering,None
None,3.00,GEN EL,General Elective,JOURNLSM 245,None,Publication Editing,None
None,3.00,GEN EL,General Elective,JOURNLSM 246,None,Elec Media Newswriting,None
None,3.00,GEN EL,General Elective,JOURNLSM 247,None,Brdcst Newswrtng/Productn,None
None,3.00,GEN EL,General Elective,JOURNLSM 248,None,Publication Layout,None
None,1.00,GEN EL,General Elective,JOURNLSM 251,None,School Publ: Editorial,None
None,3.00,GEN EL,General Elective,JOURNLSM 270,None,Communication and Web Dev,None
None,3.00,GEN EL,General Elective,JOURNLSM 271,None,Multimedia Production Two,None
None,1.00,GEN EL,General Elective,LDRSHP 101,None,Foundations of Usaf I,None
None,1.00,GEN EL,General Elective,LDRSHP 102,None,Foundations of Usaf II,None
None,2.00,GEN EL,General Elective,LDRSHP 110,None,Intro to Leadership I,None
None,1.00,GEN EL,General Elective,LDRSHP 111,None,Leadership Laboratory,None
None,2.00,GEN EL,General Elective,LDRSHP 120,None,Introduction Leadership II,None
None,1.00,GEN EL,General Elective,LDRSHP 121,None,Leadership Laboratory,None
None,0.50,GEN EL,General Elective,LDRSHP 122,None,Beginning Orienteering,None
None,0.50,GEN EL,General Elective,LDRSHP 123,None,Beg Mntn/Rappelling,None
None,1.00,GEN EL,General Elective,LDRSHP 201,None,Evol Air & Space Power I,None
None,1.00,GEN EL,General Elective,LDRSHP 202,None,Evol Air & Space Power II,None
None,2.00,GEN EL,General Elective,LDRSHP 210,None,Foundations of Leadership I,None
None,1.00,GEN EL,General Elective,LDRSHP 211,None,Leadership Laboratory,None
None,2.00,GEN EL,General Elective,LDRSHP 220,None,Foundations of Leadership II,None
None,1.00,GEN EL,General Elective,LDRSHP 221,None,Leadership Laboratory,None
None,1.00,GEN EL,General Elective,LDRSHP 224,None,Military Conditioning II,None
None,3.00,GEN EL,General Elective,LDRSHP 240,None,Leadership Training Course,None
None,3.00,MIS 320,Mgt Information Systems,MANGEMNT 211,None,Intro Information Systems,None
