4690,L,3.00,GEN EL,General Elective,DANCE 249,4684,,Dance Composition II,
4690,L,3.00,GEN EL,General Elective,COMM 270,4684,,Communication and Web Dev,
4690,L,3.00,GEN EL,General Elective,COMM 271,4684,,Multimedia Production Two,
4690,U,3.00,GEN EL,General Elective,COMM 422,4684,,Communication Theories,
4690,L,3.00,COMM 209,Comm Research Methods,COMM 485,4684,,Comm Research Methods,
4690,L,3.00,GEN EL,General Elective,ECON 105,4684,,Global Perspectives,
4690,L,3.00,ECON 101,The American Economy,ECON 200,4684,"UCTA,SSE",The Economic World,22
4690,L,3.00,ECON 120,Principles of Microeconomics,ECON 201,4684,SSE,Principles of Microeconomics,
4690,L,3.00,ECON 121,Principles of Macroeconomics,ECON 202,4684,SSE,Principles of Macroeconomics,
4690,L,3.00,ECON 202,Principles Macroeconomics,ECON 211,4684,,Econ Prin/Pblms/Policies,
4690,L,3.00,ECON 201,Principles Microeconomics,ECON 212,4684,,Econ Prin/Pblms/Policies,
4690,L,3.00,GEN EL,General Elective,ECON 213,4684,SSE,Econ Prin For Teachers,
4690,L,3.00,QM 210,Business Statistics I,ECON 245,4684,,Business Statistics,
4690,L,1.00,GEN EL,General Elective,ECON 245A,4684,,Bus Stats I-Cmptr Appltns,
4690,L,4.00,GEN EL,General Elective,ECON 245C,4684,,Statistics W/Computr Appl,
4690,U,3.00,ECON 320,Intermediate Micro Theory,ECON 301,4684,,Int Microeconomic Anlysis,
4690,U,3.00,ECON 409,Econometrics,ECON 345,4684,,Econometrics,
4690,L,2.00,GEN EL,General Elective,EARLYCHD 222,4684,,Early Child Msc Methods,
4690,L,3.00,GEN EL,General Elective,EDFNDPRC 210,4684,,Intro to Educ & Teaching,
4690,L,0.00,GEN EL,General Elective,COMDIS 100,4684,,Speech Improvement,
4690,L,3.00,GEN EL,General Elective,COMDIS 210,4684,,O & P Communicative Dis,
4690,L,3.00,GEN EL,General Elective,COMDIS 270,4684,,Intro Hum Comm and Disrdrs,
4690,L,3.00,GEN EL,General Elective,COMDIS 272,4684,,Phonetics & Relat Process,
4690,L,3.00,GEN EL,General Elective,COMDIS 278,4684,,Anat Physio Hum Comm,
4690,L,3.00,NDC,No Degree Credit,DEVLPED 050,4684,,Study/Academic Surv Skill,5
4690,L,3.00,NDC,No Degree Credit,DEVLPED 060,4684,,College Literacy,5
4690,L,1.00-3.00,GEN EL,General Elective,DEVLPED 080,4684,,Student Success Workshop,8
4690,L,3.00,ART 102,Introduction to 2-D Design,ARTSTDIO 102,4684,HUA,2-Dimensional Design,
4690,L,3.00,ART 103,Introduction to 3-D Design,ARTSTDIO 103,4684,HUA,3-Dimensional Design,
4690,L,3.00,GEN EL,General Elective,ARTSTDIO 121,4684,HUA,Basic Art,
