to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,GEN EL,General Elective,RS 205,4680,,Presentatn Technqs II,
9999,L,3.00,GEN EL,General Elective,RS 211,4680,,Interior Design I,
9999,L,3.00,GEN EL,General Elective,RS 212,4680,,Interior Design II,
9999,L,3.00,GEN EL,General Elective,RS 216,4680,,Matrls&Furntr&Technlg,
9999,L,3.00,GEN EL,General Elective,RS 233,4680,,Textiles,
9999,L,3.00,PHY EL,Physics Elective,PHYS 100,4680,"NS, LS",Energy-World Today,
9999,L,5.00,PHY EL,Physics Elective,PHYS 101,4680,"NS, LS",General Physics,
9999,L,1.00,PHY EL,Physics Elective,PHYS 106,4680,NS,Gen Phys/Basic Prins,
9999,L,1.00,PHY EL,Physics Elective,PHYS 111,4680,,Seminar,
9999,L,4.00,PHY EL,Physics Elective,PHYS 115,4680,"NS, LS",Acoustics,
9999,L,5.00,PHY 201,University Physics I,PHYS 150,4680,"LS,NS",University Physics I,
9999,L,4.00,PHY 141,College Physics I,PHYS 201,4680,,Applied Principles I,
9999,L,3.00,PHY EL,Physics Elective,PHYS 202,4680,,Applied Principles II,
9999,L,5.00,PHY 141,College Physics I,PHYS 203,4680,"UCTA,LS,NS",College Physics I,22
9999,L,5.00,PHY 142,College Physics II,PHYS 204,4680,"LS,NS",College Physics II,
9999,L,3.00,PHY EL,Physics Elective,PHYS 205,4680,NS,Basic Electricity,
9999,L,3.00,MEC 201,Statics,PHYS 220,4680,NS,Statics,
9999,L,3.00,MEC 202,Dynamics,PHYS 221,4680,NS,Dynamics,
9999,L,5.00,PHY 202,University Physics II,PHYS 250,4680,"LS,NS",University Physics II,
9999,L,3.00,PHI 101,Intro to Philosophy,PHIL 100,4680,HU,Intro to Philosophy,
9999,L,3.00,PHI 241,Ethics,PHIL 101,4680,"UCTA,HU",Contem Moral Problems,22
9999,L,3.00,PHI EL,Philosophy Elective,PHIL 102,4680,HU,Philosophicl Classics,
9999,L,3.00,PHI EL,Philosophy Elective,PHIL 104,4680,"HU, ES",Ways of Philosophy,
9999,L,3.00,PHI 201,Asian Philosophy,PHIL 105,4680,HU,Phil&Reli India&China,
9999,L,3.00,PHI 211,Elementary Logic,PHIL 121,4680,MS,Critical Thinking,
9999,L,1.00,PHI EL,Philosophy Elective,PHIL 199,4680,HU,Reading in Discipline,
9999,L,3.00,PHI EL,Philosophy Elective,PHIL 200,4680,HU,Mdrn World Intlct Rev,
9999,L,3.00,PHI EL,Philosophy Elective,PHIL 207,4680,HU,Christian Metaphysics,
9999,L,3.00,PHI EL,Philosophy Elective,PHIL 217,4680,HU,Ancient Greek Phil,
9999,L,3.00,PHI EL,Philosophy Elective,PHIL 218,4680,HU,17th&18th Cent Phil,
9999,L,3.00,PHI 241,Ethics,PHIL 220,4680,"UCTA,HU",Political&Social Phil,22
9999,L,3.00,PHI EL,Philosophy Elective,PHIL 230,4680,HU,Phil of Human Nature,
9999,L,3.00,PHI EL,Philosophy Elective,PHIL 270,4680,HU,Lbrlsm&Cnsrvtsm&Demcr,
9999,L,3.00,PHI 248,Biomedical Ethics,PHIL 302,4680,HU,Ethics and Medicine,
9999,L,3.00,PHI 243,Business Ethics,PHIL 304,4680,HU,Business Ethics,
9999,L,3.00,PHI 241,Ethics,PHIL 305,4680,"UCTA,HU",Ethics,22
9999,L,3.00,PHI 220,Philosophy of Science,PHIL 306,4680,HU,Philosophy of Science,
9999,L,3.00,PHI 103,"Belief, Knowl, Truth",PHIL 312,4680,HU,Epistemology,
9999,L,3.00,PHI 240,Existentialism,PHIL 330,4680,HU,Existential Phil,
9999,L,1.00,SOC EL,Sociology Elective,SOC 100,4680,SS,Soc Or Soc Work Forum,
9999,L,3.00,SOC 101,Intro to Sociology,SOC 101,4680,"SS, UCTA",Intro to Sociology,22
9999,L,3.00,SOC 130,Contemp Social Prob,SOC 102,4680,"SS, ES",Social Problems,
9999,L,3.00,SOC EL,Sociology Elective,SOC 224,4680,SS,Soc of Childhood,
9999,L,3.00,SOC EL,Sociology Elective,SOC 225,4680,SS,Soc of Adolescence,
9999,L,3.00,SOC 231,Crime/Criminal Just,SOC 230,4680,SS,Criminology,
9999,L,3.00,SOC 220,Soc Marriage/Family,SOC 240,4680,SS,Marriage and Family,
9999,L,3.00,SOC 170,Intro World Populatn,SOC 260,4680,SS,Population Problems,
9999,L,3.00,SOC EL,Sociology Elective,SOC 261,4680,SS,Intr Scl Wrk&Scl Srvc,
9999,L,3.00,SOC EL,Sociology Elective,SOC 262,4680,,Soc Welfr Polcs&Prgms,
9999,L,3.00,SOC EL,Sociology Elective,SOC 265,4680,SS,Aging&Old Age Problms,
9999,L,3.00,SOC 234,Soc Race/Ethnic (Es),SOC 270,4680,"UCTA,ES,SS",Minority Groups,22
9999,L,1.00-3.00,SOC EL,Sociology Elective,SOC 295,4680,,Special Topics,8
9999,L,3.00,GEN EL,General Elective,SHP 210,4680,,Intro Hlth Protection,
9999,L,3.00,GEN EL,General Elective,SHP 255,4680,,Sfty&Hlth Hazrd Cntrl,
9999,L,4.00,SPA 101,1st Sem Spanish,SPAN 101,4680,HU,First Year Spanish,
9999,L,4.00,SPA 102,2nd Sem Spanish,SPAN 102,4680,HU,First Year Spanish,
9999,L,3.00-4.00,SPA EL,Spanish Elective,SPAN 201,4680,,3rd Semester Spanish,8
