to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4674,U,2.00,PHY ED 441,Organization & Admin Phy Educ,PEPROF 473,4684,,Organ/Admin Physical Educ,
4674,U,3.00,PHY ED 373,Adapted Physical Education,PEPROF 475,4684,,Adapted Physical Educatn,
4674,U,3.00,PHY ED 374,Assess & Prescription Tech Ape,PEPROF 478,4684,,Phy Ed For Exceptnl Child,
4674,U,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 480,4684,,Health Promotion Manage,
4674,U,0.50-6.00,KINESIOL EL,Kinesiology Elective,PEPROF 490,4684,,Workshop,8
4674,U,1.00-12.00,KINESIOL EL,Kinesiology Elective,PEPROF 492,4684,,Field Study,8
4674,U,1.00-3.00,KINESIOL EL,Kinesiology Elective,PEPROF 494,4684,,Seminar,8
4674,U,0.50-3.00,KINESIOL 456,Related Readings,PEPROF 496,4684,,Special Studies,8
4674,U,1.00-3.00,KINESIOL 446,Independent Study,PEPROF 498,4684,,Independent Study,8
4674,L,3.00,GEN EL,General Elective,PAX 200,4684,DI,Intro to Peace and Just,
4674,L,3.00,PHIL EL,Philosophy Elective,PHILSPHY 121,4684,BD,Truth and the Media,
4674,L,3.00,PHIL 109,Intro to Philosophy (Xc),PHILSPHY 241,4684,BD,Intro to Philosophy,
4674,L,3.00,PHIL EL,Philosophy Elective,PHILSPHY 245,4684,BD,Contemporary Moral Issues,
4674,L,3.00,PHIL EL,Philosophy Elective,PHILSPHY 247,4684,BD,Bioethics,
4674,L,3.00,PHIL EL,Philosophy Elective,PHILSPHY 248,4684,BD,Environmental Ethics,
4674,L,3.00,PHIL 101,Elementary Logic (Hu)(Xc),PHILSPHY 251,4684,BD,Logic,
4674,L,3.00,PHIL 104,Ethics (Xc),PHILSPHY 261,4684,"BD, UCTA",Introduction to Ethics,22
4674,L,3.00,PHIL 215,Philosphy of Art (Xc),PHILSPHY 271,4684,BD,Introduction Aesthetics,
4674,U,3.00,PHIL 325,Social & Political Philosophy,PHILSPHY 281,4684,,Social Philosophy,
4674,U,3.00,PHIL 315,Philosophy of Science,PHILSPHY 291,4684,,Philosophy Nat/Soc Sci,
4674,U,3.00,PHIL EL,Philosophy Elective,PHILSPHY 300,4684,,Epistemology/Metaphysics,
4674,U,3.00,PHIL 301,Hist of Ancient Western Phil,PHILSPHY 341,4684,,Classical Philosophy,
4674,U,3.00,PHIL 305,Hist Modern Western Phil,PHILSPHY 342,4684,,Modern Philosophy,
4674,U,3.00,PHIL 331,American Philosophy,PHILSPHY 343,4684,,American Philosophy,
4674,U,3.00,PHIL 309,Contemporary Philosophy,PHILSPHY 345,4684,,Contemporary Philosophy,
4674,U,3.00,PHIL 327,Philosophy of Mind,PHILSPHY 350,4684,,Philosophy of Mind,
4674,U,3.00,PHIL EL,Philosophy Elective,PHILSPHY 365,4684,BD,Perspectives Death/Dying,
4674,U,3.00,PHIL EL,Philosophy Elective,PHILSPHY 390,4684,,Feminist Philosophy,
4674,U,1.00,PHIL EL,Philosophy Elective,PHILSPHY 410,4684,,Military Ethics,
4674,U,1.00-3.00,PHIL EL,Philosophy Elective,PHILSPHY 490,4684,,Workshop,8
4674,U,1.00-3.00,PHIL EL,Philosophy Elective,PHILSPHY 494,4684,,Seminar,8
4674,U,1.00-3.00,PHIL 456,Related Readings,PHILSPHY 496,4684,,Special Studies,8
4674,U,1.00-3.00,PHIL 446,Independent Study,PHILSPHY 498,4684,,Independent Study,8
4674,L,3.00,HISTORY EL,History Elective,RACEETH 150,4684,"DC, EA",Atlantic History,
4674,L,3.00,ENGLISH EL,English Elective,RACEETH 202,4684,EA,Intro to U.S. Lat. Lit.,
4674,L,3.00,POLI SCI EL,Political Science Elective,RACEETH 217,4684,"DE, EA",Ethnic Politics,
4674,L,3.00,POLI SCI EL,Political Science Elective,RACEETH 280,4684,"DE, EA",Politics of Urban Inequality,
4674,L,3.00,SOC EL,Sociology Elective,RACEETH 285,4684,"DG, EA",Asian Americans,
4674,U,3.00,WOM STDS EL,Womens Studies Elective,RACEETH 368,4684,DI,Amer Minority Womn Writer,
4674,U,3.00,GEN EL,General Elective,RACEETH 380,4684,EA,Race Eth Socjus Help Prof,
4674,U,1.00-3.00,GEN EL,General Elective,RACEETH 490,4684,,Workshop,8
4674,U,1.00-3.00,GEN EL,General Elective,RACEETH 496,4684,,Special Studies,8
4674,U,1.00-3.00,GEN EL,General Elective,RACEETH 498,4684,,Independent Study,8
4674,L,1.00,KINESIOL ACT,Kinesiology Activity,PEGNRL 100,4684,AC,Cr Vets W/6 Mos Act Srvce,
4674,L,1.00,KINESIOL ACT,Kinesiology Activity,PEGNRL 103,4684,AC,Beginning Archery,
