to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4684,L,2.00,MUSC 252,Theory IV,MUSIC 3140,4676,,Adv Theory - Harmony/Countrpnt,269
4684,U,3.00,MUSED 323,Elem School Music Methods,MUSIC 3160,4676,,Elem Mus Mthds Non-Mus Majors,
4684,U,2.00,MUSED 323,Elem School Music Methods,MUSIC 3330,4676,,Elem School Music Methods,
4684,U,2.00,MUSC 453,Arranging,MUSIC 3530,4676,,Orchestration and Arranging,
4684,U,2.00,MUSC 358,Instrumental Conducting,MUSIC 3920,4676,,Intermediate Conducting,
4684,L,2.00,THEATRE 100,Theatre Appreciation,THEATRE 1130,4676,GA,Introduction to the Theatre,
4684,L,1.00,THEATRE 204,Practicum - Stagecraft,THEATRE 1230,4676,,Stagecraft,
4684,,3.00,THEATRE EL,Theatre Elective,THEATRE 1430,4676,,Oral Interpretation of Lit,
4684,,3.00,THEATRE EL,Theatre Elective,THEATRE 1930,4676,,Voice and Diction,
4684,,3.00,THEATRE EL,Theatre Elective,THEATRE 2220,4676,,Practicum I,
4684,L,1.00,THEATRE 205,Practicum - Lighting,THEATRE 2230,4676,,Technical Theater II: Lighting,
4684,L,3.00,THEATRE 120,Introduction to Acting,THEATRE 2730,4676,,Beginning Acting,
4684,U,3.00,THEATRE 320,Acting: Problems of Style,THEATRE 3920,4676,,Classical Acting,
4684,,3.00,THEATRE EL,Theatre Elective,THEATRE 4530,4676,,Independent Study,8
4684,,3.00,THEATRE EL,Theatre Elective,THEATRE 4630,4676,,Theatre History I,
4684,,3.00,THEATRE EL,Theatre Elective,THEATRE 4730,4676,,Theatre History II,
4684,L,1.00,INTRAUNV 104,New Student Seminar,UWPSTUDY 1010,4676,GI,Introduction to College Life,
4684,L,3.00,WOMENST 100,Intro Women's Studies,WOMGENDR 1130,4676,GE,Intro to Wom & Gndr Stdies,
4684,,3.00,WOMENST EL,Womens and Gender Studies Elective,WOMGENDR 2030,4676,,Women Art/Soc Change,
4684,,3.00,WOMENST EL,Womens and Gender Studies Elective,WOMGENDR 2230,4676,GE,Gender and Society,
4684,,3.00,WOMENST EL,Womens and Gender Studies Elective,WOMGENDR 2430,4676,GE,Women and Health,
4684,,3.00,WOMENST EL,Womens and Gender Studies Elective,WOMGENDR 2530,4676,,Psychology of Women,
4684,,3.00,WOMENST EL,Womens and Gender Studies Elective,WOMGENDR 2730,4676,GE,Women in Science & Engr,
4684,,3.00,WOMENST EL,Womens and Gender Studies Elective,WOMGENDR 2830,4676,GE,Survey Women Writers,
4684,,3.00,WOMENST EL,Womens and Gender Studies Elective,WOMGENDR 2860,4676,GE,Major Women Writers,
