to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 142,4678,,Cardio Kickboxing,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 190,4678,,Individual Physical Activity,
4658,L,3.00,SPT&REC EL,Sport & Recreation Elective,P E 289,4678,,St: Physical Education,
4658,L,3.00,KIN 211,First Aid and C.P.R.,SFED 200,4678,,"First Aid, Cpr, Aed Cert.",
4658,L,2.00,EDUC EL,Education-Interdepartmental Elective,SFED 201,4678,,First Aid For Elem Teachers,
4658,L,1.00,KIN 211,First Aid and C.P.R.,SFED 212,4678,,"First Aid, Cpr, Aed Inst.",
4658,L,1.00,KIN 211,First Aid and C.P.R.,SFED 214,4678,,Life Support & Cpr,
4658,,5.00,GEN CONF,General Confer,SFED 289,4678,,Seminar:  Safety & First Aid,"2, 11"
4658,L,3.00,GEN EL,General Elective,SOIL 120,4678,,Intro to Soil Science,
4658,L,3.00,GEN EL,General Elective,SOIL 210,4678,,Introduction to Soil Science,
4658,L,2.00,GEN EL,General Elective,SOIL 250,4678,,Soil Profile Descriptions,
4658,P,0.00,NDC,No Degree Credit,SOIL 270,4678,,Internship I,5
4658,P,0.00,NDC,No Degree Credit,SOIL 289,4678,,St: Soil Science,5
4658,L,4.00,PHYSICS 110,Physics For Health Professions,PHYS 114,4678,NS,Conceptual Physics,
4658,L,3.00,ASTRON 103,Survey of Astronomy,PHYS 117,4678,NS,Basic Astronomy,
4658,L,4.00,PHYSICS 120,General Physics I (Non-Calc),PHYS 121,4678,"UCTA,NS",Algebra-Based Physics I,22
4658,L,1.00,PHYSICS 121,Gen Physics Lab I (Non-Calc),PHYS 121,4678,"NS,+,UCTA",Algebra-Based Physics I,22
4658,L,4.00,PHYSICS 122,General Physics II (Non-Calc),PHYS 122,4678,NS,Algebra-Based Physics II,
4658,L,1.00,PHYSICS 123,Gen Physics Lab II (Non-Calc),PHYS 122,4678,"NS,+",Algebra-Based Physics II,
4658,L,4.00,PHYSICS 209,Physics I (Calculus Treatment),PHYS 131,4678,NS,Calculus-Based Physics I,
4658,L,1.00,PHYSICS 214,Lab Physics I (Calculus),PHYS 131,4678,"NS,+",Calculus-Based Physics I,
4658,L,4.00,PHYSICS 210,Physics II (Calculus Treatmnt),PHYS 132,4678,NS,Calculus-Based Physics II,
4658,L,1.00,PHYSICS 215,Lab Physics II (Calculus),PHYS 132,4678,"NS,+",Calculus-Based Physics II,
4658,L,3.00,GEN EL,General Elective,PHYS 150,4678,,Science and Art,
4658,L,4.00,PHYSICS 120,General Physics I (Non-Calc),PHYS 151,4678,"UCTA,NS",Alg.-Based Physics I,
4658,L,4.00,PHYSICS 122,General Physics II (Non-Calc),PHYS 152,4678,NS,Algebra-Based Physics II,
4658,L,1.00,PHYSICS 121,Gen Physics Lab I (Non-Calc),PHYS 156,4678,"NS,+,UCTA",Alg.-Based Physics Lab I,
4658,L,1.00,PHYSICS 123,Gen Physics Lab II (Non-Calc),PHYS 157,4678,"NS,+",Alg.-Based Physics Lab II,
4658,L,4.00,PHYSICS 209,Physics I (Calculus Treatment),PHYS 161,4678,NS,Calculus-Based Physics I,
4658,L,4.00,PHYSICS 210,Physics II (Calculus Treatmnt),PHYS 162,4678,NS,Calculus-Based Physics II,
4658,L,1.00,PHYSICS 214,Lab Physics I (Calculus),PHYS 166,4678,"NS,+",Calculus-Based Physics Lab I,
4658,L,1.00,PHYSICS 215,Lab Physics II (Calculus),PHYS 167,4678,"NS,+",Calc-Based Physics Lab II,
4658,L,1.00,PHYSICS EL,Physics Elective,PHYS 204,4678,,Intermediate Physics Lab,
4658,L,3.00,COMPSCI EL,Computer Science Elective,PHYS 211,4678,,Scientific Programming,
4658,L,4.00,PHYSICS EL,Physics Elective,PHYS 220,4678,,Science of Light,
4658,L,3.00,CIV ENG 201,Statics,PHYS 250,4678,,Statics,
4658,L,3.00,CIV ENG 202,Dynamics,PHYS 252,4678,,Dynamics,
4658,U,3.00,CIV ENG 303,Strength of Materials,PHYS 254,4678,,Mechanics of Materials,
4658,U,4.00,PHYSICS 309,Physics III: Modern Physics,PHYS 264,4678,QLB,Modern Physics,
4658,P,0.00,NDC,No Degree Credit,PHYS 279,4678,,Intro to Internships,5
4658,L,3.00,PHYSICS EL,Physics Elective,PHYS 289,4678,,Special Topics in Physics,
4658,L,3.00,GEN EL,General Elective,SMGT 115,4678,,Env Sci & Sust,
4658,L,3.00,GEN EL,General Elective,SMGT 230,4678,,Triple Bottom Ln. Acct. Mgrs,
4658,L,3.00,ECON EL,Economics Elective,SMGT 235,4678,,Econ in Society & Sustain,
4658,L,3.00,ENGLISH EL,English Elective,SMGT 240,4678,,Bus Comm Sust Management,
4658,L,3.00,POL SCI EL,Political Science Elective,POLS 110,4678,,Controversies in Politics,
4658,L,3.00,POL SCI EL,Political Science Elective,POLS 114,4678,"SS, UCTA",American Government & Pol,22
4658,L,3.00,POL SCI 203,Intro to Pol Sci Research,POLS 200,4678,,Political Sci Research Methods,
4658,L,3.00,POL SCI 215,"Ethncty,Relign,Race-Poltcs (D)",POLS 212,4678,"CD,SS",Pol of Equality &Inequality(D),
4658,U,3.00,POL SCI 467,Elections and Voting Behavior,POLS 220,4678,,Pub Opinion & Pol Behavior,
