to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,GEN EL,General Elective,GSCI 205,4690,NS,Foundations of Science I,
9999,L,3.00,GEN EL,General Elective,GSCI 206,4690,NS,Foundations of Science II,
9999,L,1.00-4.00,GEN EL,General Elective,GSCI 290,4690,,Special Topics,8
9999,L,1.00-3.00,GEN EL,General Elective,HRM 290,4690,,Special Topics,8
9999,L,3.00,GEN EL,General Elective,HONS 195,4690,,Fr Seminar-Honors,
9999,L,1.00-3.00,GEN EL,General Elective,HONS 290,4690,,Special Topics,8
9999,L,1.00,HES 055,Beginning Swimming,HESM 105,4690,AP,Beginning Swimming,
9999,L,1.00,HES 056,Int Swimming,HESM 106,4690,AP,Intermediate Swimming,
9999,L,1.00,HES 061,Scuba Diving,HESM 110,4690,AP,Scuba Diving,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 112,4690,AP,Swim For Fitness,
9999,L,1.00,HES 002,Badminton,HESM 113,4690,AP,Badminton,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 114,4690,AP,Emergency Water Safety,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 115,4690,AP,Baseball,
9999,L,1.00,HES 005,Team Sports: Basketball,HESM 117,4690,AP,Basketball,
9999,L,1.00,HES 006,Lifetime Activity: Bowling,HESM 123,4690,AP,Bowling I,
9999,L,1.00,HES 007,Intermediate Bowling,HESM 124,4690,AP,Bowling II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 125,4690,AP,Bowling III,
9999,L,1.00,HES 046,Lifetime Activity: Yoga,HESM 130,4690,AP,Relaxation,
9999,L,1.00,PED EL,Physical Education Elective,HESM 132,4690,AP,Social Dance,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 137,4690,AP,Aerobic Walking,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 138,4690,AP,Jogging For Fun & Fitness,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 139,4690,AP,Disc Golf,
9999,L,1.00,HES 024,Aerobic Dance,HESM 140,4690,AP,Aerobics I,
9999,L,1.00,HES 009,Lifetime Activity: Golf,HESM 141,4690,AP,Golf,
9999,L,1.00,HES 010,Intermediate Golf,HESM 142,4690,AP,Golf II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 143,4690,AP,Step Aerobics,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 144,4690,AP,Step Aerobics II,
9999,L,1.00,HES 024,Aerobic Dance,HESM 149,4690,AP,Aerobics,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 150,4690,AP,Aerobics II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 153,4690,AP,Step Aerobics II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 157,4690,AP,Karate I,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 158,4690,AP,Karate II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 159,4690,AP,Karate III,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 165,4690,AP,Outdoor Leadership,
9999,L,1.00,HES 012,Racquetbal/Handball,HESM 167,4690,AP,Racquetball I,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 168,4690,AP,Racquetball II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 169,4690,AP,Personal Defense,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 171,4690,AP,Fitness For Life,
9999,L,1.00,HES 041,Lifetme Activ: Skiing/Snowbrd,HESM 175,4690,AP,Skiing I,
9999,L,1.00,HES 042,Interm Downhill Ski/Snowboard,HESM 176,4690,AP,Skiing II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 177,4690,AP,Skiing III,
9999,L,1.00,HES 043,Cross Country Skiing,HESM 178,4690,AP,Cross Country Skiing,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 179,4690,AP,Aerobic Walking,
9999,L,1.00,HES 117,Soccer,HESM 180,4690,AP,Soccer I,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 181,4690,AP,Soccer II,
9999,L,1.00,HES 014,Team Sports: Softball,HESM 182,4690,AP,Softball,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 183,4690,AP,Cross Training,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 184,4690,AP,Cross Training II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 185,4690,AP,Cross Training III,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 186,4690,AP,Cross Training IV,
9999,L,1.00,HES 016,Lifetime Activity: Tennis,HESM 188,4690,AP,Tennis I,
9999,L,1.00,HES 017,Intermediate Tennis,HESM 189,4690,AP,Tennis II,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 190,4690,AP,Special Topics,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 191,4690,AP,Special Topics,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 192,4690,AP,Track and Field,
9999,L,1.00,HES 018,Team Sports: Volleyball,HESM 194,4690,AP,Volleyball,
9999,L,1.00-3.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 195,4690,AP,Pe Workshop,8
9999,L,1.00,HES 019,Lifetme Activ: Weight Training,HESM 196,4690,AP,Weight Training I,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 198,4690,AP,Wrestling,
9999,L,1.00,HES 046,Lifetime Activity: Yoga,HESM 199,4690,AP,Yoga,
9999,L,1.00,HES 123,Cpr,HESM 201,4690,AP,Community First Aid & Cpr/Aed,
9999,L,3.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 210,4690,AP,"Intro Hlth,Exrcs Sci&Sport Mgt",
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 211,4690,AP,Sport Safety Training/Aed,
9999,L,3.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 220,4690,AP,Applied Sport Management,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 232,4690,AP,Lifeguard Training,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 233,4690,AP,Water Safety Instructor,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 240,4690,AP,Ballet I,
