,to,level,credits,course_2,title_2,course_1,from_,gen_ed,"title_1,special"
121,9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 202,9999,SS,
122,9999,L,3.0,SOC 101,Intro to Sociology,SOCSCI (809) 203,9999,"UCTA,SS",
123,9999,L,3.0,SOC 220,Soc Marriage/Family,SOCSCI (809) 204,9999,SS,
124,9999,L,3.0,SOC 125,Am Socty: Contemp Approach,SOCSCI (809) 205,9999,SS,
125,9999,L,3.0,GSW 101,Introduction to Gender (Is),SOCSCI (809) 206,9999,"IS,SS",
126,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 207,9999,SS,
127,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 208,9999,"SS, ES",
128,9999,L,3.0,GSW EL,"Gender, Sexuality, & Women's Studies Elective",SOCSCI (809) 209,9999,SS,
129,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 210,9999,SS,
130,9999,L,3.0,ECO 203,Economics - Macro,SOCSCI (809) 211,9999,SS,
131,9999,L,3.0,ECO 204,Economics - Micro,SOCSCI (809) 212,9999,SS,
132,9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 213,9999,SS,
133,9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 214,9999,SS,
134,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 215,9999,"SS, ES",
135,9999,L,3.0,GSW EL,"Gender, Sexuality, & Women's Studies Elective",SOCSCI (809) 216,9999,SS,
136,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 217,9999,SS,
137,9999,L,3.0,SOC 101,Intro to Sociology,SOCSCI (809) 219,9999,"UCTA,SS",
138,9999,L,3.0,POL 385,Pol Amer Foreign Pol,SOCSCI (809) 220,9999,SS,
139,9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 221,9999,"UCTA,SS",
140,9999,L,3.0,POL 225,State and Local Gov,SOCSCI (809) 222,9999,SS,
141,9999,L,3.0,POL 275,Internat Politics,SOCSCI (809) 223,9999,SS,
142,9999,L,3.0,POL EL,Political Science Elective,SOCSCI (809) 224,9999,SS,
143,9999,L,3.0,PSY 330,Social Psychology,SOCSCI (809) 225,9999,SS,
144,9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 231,9999,"UCTA,SS",
145,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 232,9999,SS,
146,9999,L,3.0,PSY 250,Life Span Devel Psy,SOCSCI (809) 233,9999,SS,
147,9999,L,3.0,PSY 205,Dynamics of Hum Beha,SOCSCI (809) 235,9999,SS,
148,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 236,9999,SS,
149,9999,L,3.0,PSY 309,Abnormal Psychology,SOCSCI (809) 237,9999,SS,
150,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 238,9999,SS,
151,9999,L,3.0,PSY 360,Psy/Childhd & Adolesc,SOCSCI (809) 239,9999,SS,
152,9999,L,3.0,HIS EL,History Elective,SOCSCI (809) 240,9999,"SS, ES",
153,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 241,9999,"SS, ES",
154,9999,L,3.0,GSW EL,"Gender, Sexuality, & Women's Studies Elective",SOCSCI (809) 250,9999,SS,
155,9999,L,3.0,PHI 101,Intro to Philosophy,SOCSCI (809) 260,9999,HU,
156,9999,L,4.0,PHI 211,Elementary Logic,SOCSCI (809) 261,9999,MS,
157,9999,L,3.0,PHI EL,Philosophy Elective,SOCSCI (809) 262,9999,HU,
158,9999,L,3.0,PHI EL,Philosophy Elective,SOCSCI (809) 263,9999,"HU, ES",
159,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SOCSCI (809) 264,9999,,
160,9999,L,3.0,PHI EL,Philosophy Elective,SOCSCI (809) 265,9999,HU,
161,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 266,9999,HU,
162,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 267,9999,,
163,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 268,9999,SS,
164,9999,L,3.0,POL EL,Political Science Elective,SOCSCI (809) 269,9999,SS,
165,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 271,9999,SS,
166,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 272,9999,SS,
167,9999,L,3.0,SOC 275,"Religion, Spirit, & Secularism",SOCSCI (809) 275,9999,SS,
168,9999,L,1.0,GEN EL,General Elective,SOCSCI (809) 277,9999,,
169,9999,L,3.0,ANT 100,Intro to General Anthro,SOCSCI (809) 280,9999,SS,
170,9999,L,3.0,ANT 102,Disc Past:Archlgy & Prehis Wld,SOCSCI (809) 281,9999,SS,
171,9999,L,3.0,ANT EL,Anthropology Elective,SOCSCI (809) 282,9999,"SS, ES",
172,9999,L,3.0,ANT 104,Intro to Cultural Anthropology,SOCSCI (809) 283,9999,SS,
173,9999,L,3.0,ANT EL,Anthropology Elective,SOCSCI (809) 284,9999,SS,
174,9999,L,3.0,ANT EL,Anthropology Elective,SOCSCI (809) 285,9999,SS,
175,9999,L,3.0,ANT EL,Anthropology Elective,SOCSCI (809) 286,9999,SS,
176,9999,,3.0,NDC,No Degree Credit,SPEECH (810) 101,9999,,
177,9999,L,3.0,CTA 103,Intro Public Speaking,SPEECH (810) 201,9999,"UCTA,AP",
178,9999,L,3.0,CTA 101,Interpersonal Comm,SPEECH (810) 205,9999,AP,
179,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 207,9999,,
180,9999,L,3.0,CTA 230,Literature & Performance,SPEECH (810) 211,9999,HU,
181,9999,L,3.0,CTA 130,Intro to Theatre,SPEECH (810) 230,9999,FA,
182,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 231,9999,,
183,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 233,9999,HU,
184,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 235,9999,,
185,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 236,9999,,
186,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 237,9999,AP,
187,9999,L,3.0,CTA 103,Intro Public Speaking,SPEECH (810) 242,9999,"UCTA,AP",
188,9999,L,3.0,CTA 150,Introduction to Film,SPEECH (810) 250,9999,FA,
189,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 252,9999,,
190,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 254,9999,FA,
191,9999,L,2.0,CTA 131,Theatre Laboratory,SPEECH (810) 260,9999,AP,
192,9999,L,2.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 261,9999,,
193,9999,L,3.0,CTA 131,Theatre Laboratory,SPEECH (810) 262,9999,AP,
194,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 263,9999,AP,
195,9999,L,2.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 264,9999,AP,
196,9999,L,2.0,CTA 266,Group Discussion,SPEECH (810) 266,9999,SS,
197,9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 105,9999,"NS, LS",
198,9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 111,9999,"NS, LS",
199,9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 112,9999,"NS, LS",
200,9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 114,9999,"NS, LS",
201,9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 127,9999,"NS, LS",
202,9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 129,9999,"NS, LS",
203,9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 134,9999,"UCTA,LS,NS",
204,9999,L,3.0,PHY 141,College Physics I,NATSCI (806) 143,9999,"UCTA,LS,NS",
205,9999,L,4.0,PHY 141,College Physics I,NATSCI (806) 154,9999,"UCTA,LS,NS",
206,9999,L,4.0,BIO 182,Human Anat & Physiology,NATSCI (806) 177,9999,"LS,NS",
207,9999,L,5.0,CHE 125,Introductory Chemistry,NATSCI (806) 178,9999,"LS,NS",
208,9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 179,9999,"NS, LS",
209,9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 186,9999,NS,
210,9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 197,9999,NS,
211,9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 199,9999,"LS,NS",
212,9999,L,5.0,CHE 124,Applied Chemistry and Society,NATSCI (806) 200,9999,"LS,NS",
213,9999,L,5.0,CHE 125,Introductory Chemistry,NATSCI (806) 201,9999,"UCTA,LS,NS",
214,9999,L,1.0,CHE EL,Chemistry Elective,NATSCI (806) 202,9999,NS,
215,9999,L,5.0,BIO 171,Animal Biology,NATSCI (806) 203,9999,"NS,LS",
216,9999,L,1.0,BIO EL,Biology Elective,NATSCI (806) 205,9999,NS,
217,9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 206,9999,"NS, LS",
218,9999,L,4.0,BIO 285,Anatomy and Physiology,NATSCI (806) 207,9999,"LS,NS",
219,9999,L,4.0,BIO 286,Anatomy and Physiology,NATSCI (806) 208,9999,"LS,NS",
220,9999,L,5.0,CHE 145,General Chemistry I,NATSCI (806) 209,9999,"LS,NS",
221,9999,L,5.0,CHE EL,Chemistry Elective,NATSCI (806) 210,9999,"NS, LS",
222,9999,L,5.0,CHE 155,General Chemistry II,NATSCI (806) 212,9999,"LS,NS",
223,9999,L,5.0,CHE 343,Organic Chemistry I,NATSCI (806) 213,9999,"LS,NS",
224,9999,L,5.0,CHE EL,Chemistry Elective,NATSCI (806) 214,9999,"NS, LS",
225,9999,L,5.0,BIO 162,General Botany,NATSCI (806) 215,9999,"NS,LS",
226,9999,L,1.0,BIO EL,Biology Elective,NATSCI (806) 217,9999,NS,
227,9999,L,5.0,PHY 141,College Physics I,NATSCI (806) 221,9999,"UCTA,LS,NS",
228,9999,L,5.0,PHY 142,College Physics II,NATSCI (806) 222,9999,"LS,NS",
229,9999,L,5.0,PHY 201,University Physics I,NATSCI (806) 223,9999,"LS,NS",
230,9999,L,5.0,PHY 202,University Physics II,NATSCI (806) 224,9999,"LS,NS",
231,9999,L,5.0,BIO 180,Intro to Human Biology,NATSCI (806) 226,9999,NS,
232,9999,L,5.0,BIO 211,Genetics,NATSCI (806) 227,9999,"NS,LS",
233,9999,L,5.0,BIO 180,Intro to Human Biology,NATSCI (806) 229,9999,NS,
234,9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 230,9999,NS,
235,9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 231,9999,NS,
236,9999,L,3.0,GEO 120,Intro to Physical Geography,NATSCI (806) 241,9999,NS,
237,9999,L,3.0,GLG EL,Geology Elective,NATSCI (806) 242,9999,NS,
238,9999,L,5.0,AST 100,Surv of Astronomy,NATSCI (806) 243,9999,"NS,LS",
239,9999,L,4.0,GLG 100,Intro to Geology,NATSCI (806) 244,9999,NS,
240,9999,L,3.0,MLG 100,Intro to Meteorology,NATSCI (806) 245,9999,"LS,NS",
241,9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 265,9999,"NS, LS",
242,9999,L,5.0,BIO EL,Biology Elective,NATSCI (806) 273,9999,NS,
243,9999,L,5.0,BIO 251,Gen Sur Microbiology,NATSCI (806) 274,9999,"NS,LS",
244,9999,L,2.0,BIO EL,Biology Elective,NATSCI (806) 275,9999,NS,
245,9999,L,3.0,GLG EL,Geology Elective,NATSCI (806) 280,9999,NS,
246,9999,L,3.0,BIO 190,Intro to Environmental Science,NATSCI (806) 281,9999,NS,
247,9999,L,4.0,BIO 201,Prin of Ecology,NATSCI (806) 282,9999,"LS,NS",
248,9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 283,9999,NS,
249,9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 284,9999,NS,
250,9999,L,3.0,GEN EL,General Elective,NATSCI (806) 285,9999,NS,
251,9999,L,4.0,GEN EL,General Elective,NATSCI (806) 286,9999,NS,
252,4688,L,3.0,ACCTG EL,Accounting Elective,ACCTG (101) 111,4688,,
253,4688,U,4.0,ACCTG 300,Principles of Financial Acctg,ACCTG (101) 111,4688,QL,
254,4688,L,4.0,ACCTG EL,Accounting Elective,ACCTG (101) 113,4688,,
255,4688,U,4.0,ACCTG EL,Accounting Elective,ACCTG (101) 113,4688,,
256,4688,U,3.0,ACCTG 302,Principles Managerial Acctg,ACCTG (101) 118,4688,,
257,4688,U,1.0,ACCTG EL,Accounting Elective,ACCTG (101) 122,4688,,
258,4688,L,3.0,ACCTG 313,Intermediate Accounting II,ACCTG (101) 123,4688,,
