	to	level	credits	course_2	title_2	course_1	from_	gen_ed	title_1,special
1894	4670	L	3.0	C S 145	Programming New	ITDEV (152) 151	Madison Area Tech. College		
1895	4670		3.0	NDC	No Degree Credit	ITDEV (152) 156	Madison Area Tech. College		
1896	4670	L	3.0	Comm-Lang EL	Comm-Language Skills Elective	FLANG (802) 200	Madison Area Tech. College	GE-IA, LE-S1	
1897	4670	L	3.0	Comm-Lang EL	Comm-Language Skills Elective	FLANG (802) 200	Madison Area Tech. College	GE-IA, LE-S1                 GE-IA, LE-S1	
1898	4670	L	3.0	SPAN 101	Begin Spanish I	FLANG (802) 201	Madison Area Tech. College	GE-IA, LE-S1	
1899	4670		3.0	Comm-Lang EL	Comm-Language Skills Elective	FLANG (802) 201	Madison Area Tech. College		
1900	4670		4.0	GEN CONF	General Confer	FLANG (802) 209	Madison Area Tech. College		
1901	4670	L	2.0	GEN CONF	General Confer	FLANG (802) 210	Madison Area Tech. College	GE-IA, LE-S1	
1902	4670	L	4.0	SPAN 101	Begin Spanish I	FLANG (802) 211	Madison Area Tech. College	GE-IA, LE-S1	
1903	4670	L	4.0	SPAN 102	Begin Spanish II	FLANG (802) 212	Madison Area Tech. College	GE-IA, LE-R2	
1904	4670	L	4.0	SPAN 201	Intermed Span I	FLANG (802) 213	Madison Area Tech. College	GE-IA, LE-R2	
1905	4670	U	4.0	SPAN 202	Intermed Span II	FLANG (802) 214	Madison Area Tech. College	GE-IA	
1906	4670		3.0	SPAN 301	Advnc Composition	FLANG (802) 215	Madison Area Tech. College		
1907	4670	L	4.0	GEN CONF	General Confer	FLANG (802) 216	Madison Area Tech. College	GE-IA, LE-S1	
1908	4670	L	4.0	FREN 101	Beginning French	FLANG (802) 221	Madison Area Tech. College	GE-IA, LE-S1	
1909	4670	L	4.0	FREN 102	Beginning French	FLANG (802) 222	Madison Area Tech. College	GE-IA, LE-R2	
1910	4670	L	4.0	FREN 201	Intermediate Fren	FLANG (802) 223	Madison Area Tech. College	GE-IA, LE-R2	
1911	4670	L	4.0	FREN 202	Intermediate Fren	FLANG (802) 224	Madison Area Tech. College		
1912	4670		2.0	GEN EL	General Elective	FLANG (802) 225	Madison Area Tech. College		
1913	4670		3.0	GEN CONF	General Confer	FLANG (802) 230	Madison Area Tech. College		
1914	4670	L	3.0	GEN CONF	General Confer	FLANG (802) 231	Madison Area Tech. College	GE-IA	
1915	4670	L	3.0	F LG 101	Begin For Lang I	FLANG (802) 240	Madison Area Tech. College	GE-IA	
1916	4670	L	3.0	F LG 102	Begin For Lang II	FLANG (802) 241	Madison Area Tech. College	GE-IV, LE-K4	
