to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,AIS EL,American Indian Studies Elective,FNS 224,UW-Green Bay,ES,First Nations and the Sacred,
UW Branch Campus,L,3.00,AIS EL,American Indian Studies Elective,FNS 225,UW-Green Bay,ES,Intro Fns:Tribal World,
UW Branch Campus,L,3.00,AIS EL,American Indian Studies Elective,FNS 226,UW-Green Bay,ES,Intro to Fns:Social Justice,
UW Branch Campus,L,3.00,GEO 110,World Regnl Geog,GEOG 102,UW-Green Bay,SS,World Regions & Concepts,
UW Branch Campus,L,3.00,GEO 101,Intro Cult Geography,GEOG 202,UW-Green Bay,SS,Intro to Cultural Geography,
UW Branch Campus,L,3.00,MLG 100,Intro to Meteorology,GEOG 222,UW-Green Bay,"LS,NS",Ocean of Air:Weather-Clim,
UW Branch Campus,L,1.00,GEO EL,Geography Elective,GEOG 223,UW-Green Bay,LS,Ocean of Air:Wthr & Climte Lab,
UW Branch Campus,L,2.00,GEO 107,Intro Maps & Air Photo,GEOG 250,UW-Green Bay,"LS,NS",Introduction to Gis,
UW Branch Campus,L,1.00-4.00,GEO EL,Geography Elective,GEOG 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00-4.00,GEO EL,Geography Elective,GEOG 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,L,3.00,GLG 100,Intro to Geology,GEOSCI 102,UW-Green Bay,NS,Natural Hazards,
UW Branch Campus,L,1.00,GLG EL,Geology Elective,GEOSCI 110,UW-Green Bay,,Dinosaurs:Rise to Ruin,
UW Branch Campus,L,4.00,GLG 101,Physical Geology,GEOSCI 202,UW-Green Bay,"NS,LS",Physical Geology,
UW Branch Campus,L,3.00,GLG EL,Geology Elective,GEOSCI 203,UW-Green Bay,NS,Earth System History,2305
UW Branch Campus,L,1.00,GLG EL,Geology Elective,GEOSCI 204,UW-Green Bay,NS,Earth System History Lab,2305
UW Branch Campus,L,3.00,MLG 100,Intro to Meteorology,GEOSCI 222,UW-Green Bay,"LS,NS",Ocean of Air:Weather-Clim,
UW Branch Campus,L,1.00-4.00,GLG EL,Geology Elective,GEOSCI 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00-4.00,GLG EL,Geology Elective,GEOSCI 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,L,4.00,FRE 101,1st Sem French,FRENCH 101,UW-Green Bay,HU,Intro to the French Lang I,
UW Branch Campus,L,4.00,FRE 102,2nd Sem French,FRENCH 102,UW-Green Bay,HU,Intro to the French Lang II,
UW Branch Campus,L,3.00,FRE 201,3rd Sem French,FRENCH 201,UW-Green Bay,HU,Intermediate French Lang I,
UW Branch Campus,L,3.00,FRE 202,4th Sem French,FRENCH 202,UW-Green Bay,HU,Intermediate French Lang II,
UW Branch Campus,L,3.00,FRE 225,Conversation & Composition,FRENCH 225,UW-Green Bay,"HU,SQ",Intermed Conversation-Comp,
