to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
Gateway Tech. College,,3.00,EARLYCHLD (307) 151,Ece: Infant & Toddler Dev,EARLYCHLD (307) 151,Western Tech. College,,Ece: Infant & Toddler Dev,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 166,Ece: Curriculum Planning,EARLYCHLD (307) 166,Western Tech. College,,Ece: Curriculum Planning,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 167,Ece: Hlth Safety & Nutrition,EARLYCHLD (307) 167,Western Tech. College,,Ece: Hlth Safety & Nutrition,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 174,Ece: Practicum 1,EARLYCHLD (307) 174,Western Tech. College,,Ece: Practicum 1,200
Gateway Tech. College,,3.00,EARLYCHLD (307) 178,Ece: Art Music & Lang Arts,EARLYCHLD (307) 178,Western Tech. College,,Ece: Art Music & Lang Arts,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 179,Ece: Child Development,EARLYCHLD (307) 179,Western Tech. College,,Ece: Child Development,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 187,Ece: Children W Diff Abilities,EARLYCHLD (307) 187,Western Tech. College,,Ece: Children W Diff Abilities,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 188,Ece: Guiding Child Behavior,EARLYCHLD (307) 188,Western Tech. College,,Ece: Guiding Child Behavior,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 192,Ece: Practicum 2,EARLYCHLD (307) 192,Western Tech. College,,Ece: Practicum 2,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 194,Ece: Math Science & Soc St,EARLYCHLD (307) 194,Western Tech. College,,Ece: Math Science & Soc St,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 195,Ece: Family & Community Rel,EARLYCHLD (307) 195,Western Tech. College,,Ece: Family & Community Rel,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 197,Ece: Practicum 3,EARLYCHLD (307) 197,Western Tech. College,,Ece: Practicum 3,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 198,Ece: Admin An Ece Program,EARLYCHLD (307) 198,Western Tech. College,,Ece: Admin An Ece Program,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 199,Ece: Practicum 4,EARLYCHLD (307) 199,Western Tech. College,,Ece: Practicum 4,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 900,Intro to Criminal Justice,CRIM JUST (504) 900,Western Tech. College,,Intro to Criminal Justice,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 901,Constitutional Law,CRIM JUST (504) 901,Western Tech. College,,Constitutional Law,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 902,Criminal Law,CRIM JUST (504) 902,Western Tech. College,,Criminal Law,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 903,Professional Communications,CRIM JUST (504) 903,Western Tech. College,,Professional Communications,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 904,Juvenile Law,CRIM JUST (504) 904,Western Tech. College,,Juvenile Law,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 905,Report Writing,CRIM JUST (504) 905,Western Tech. College,,Report Writing,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 906,Criminal Investigation Theory,CRIM JUST (504) 906,Western Tech. College,,Criminal Investigation Theory,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 907,Community Policing Strategies,CRIM JUST (504) 907,Western Tech. College,,Community Policing Strategies,"200, 215"
Gateway Tech. College,,3.00,CRIM JUST (504) 908,Traffic Theory,CRIM JUST (504) 908,Western Tech. College,,Traffic Theory,"200, 215"
Gateway Tech. College,,3.00,MEDTERM (501) 101,Medical Terminology,MEDTERM (501) 101,Western Tech. College,,Medical Terminology,"200, 215"
Gateway Tech. College,,2.00,MEDTERM (501) 104,Culture of Healthcare,MEDTERM (501) 104,Western Tech. College,,Prin of Customer Service/Hc,"200, 215"
Gateway Tech. College,,2.00,MEDTERM (501) 107,Digital Literacy For Healthcar,MEDTERM (501) 107,Western Tech. College,,Digital Literacy For Healthcar,"200, 215"
UW-Whitewater,L,3.00,ENGLISH 101,College Writing & Reading,COMMSK (801) 136,Western Tech. College,"CC, UCTA",English Composition 1,22
UW-Whitewater,L,3.00,ENGLISH 101,College Writing & Reading,COMMSK (801) 195,Western Tech. College,"CC, UCTA",Written Communication,22
UW-Whitewater,,3.00,COMM EL,Communication Elective,COMMSK (801) 196,Western Tech. College,,Oral/Interpersonal Comm,
UW-Whitewater,,3.00,COMM EL,Communication Elective,COMMSK (801) 196,Western Tech. College,GS,Oral/Interpersonal Comm,
UW-Whitewater,,3.00,DNT,Does Not Transfer,COMMSK (801) 197,Western Tech. College,,Technical Reporting,20
UW-Whitewater,L,3.00,COMM 110,Intro to Public Speaking,COMMSK (801) 198,Western Tech. College,"CC, UCTA",Speech,22
UW-Whitewater,L,3.00,ENGLISH 101,College Writing & Reading,COMMSK (801) 201,Western Tech. College,CC,English 1,
UW-Whitewater,L,3.00,ENGLISH 102,Writing/Reading/Research,COMMSK (801) 203,Western Tech. College,CC,English 2,
